hidden,g,phi,task,mse_control,std_control,mse_lesion_connectivity,std_lesion_connectivity,mse_lesion_activity,std_lesion_activity
32,0.9,relu,go,-9.169061992923922,-7.4146404035855005,-9.16823555778512,-7.4144867717132525,-9.16823555778512,-7.4144867717132525
32,0.9,relu,discrimination,-9.16099490256295,-7.324945741784273,-9.159564466310119,-7.324766160097818,-9.159564466310119,-7.324766160097818
32,0.9,relu,flop,-9.052377996921829,-6.935094633526021,-0.19719916144328542,0.3846246499713474,-0.19658285208758355,0.3858582891244166
32,0.9,relu,integrator,-8.807428064556111,-8.16428133913555,-1.003060636255824,-0.40690959656198583,-1.0057493845302805,-0.40857465427895723
64,0.1,tanh,go,-8.949141832700777,-6.737162934458605,-0.740301835051104,-0.6576905058091302,-1.5659041535079452,-0.8590292255254907
64,0.1,tanh,discrimination,-9.144824715061128,-7.122284443242434,-2.952261645330775,-1.5650372051363213,-2.9154521062465766,-1.5140562150320935
64,0.1,tanh,flop,-9.188431808797002,-6.51326856502944,-3.964720182852874,-4.077032047883661,-3.9542638972296142,-3.907139752573933
64,0.1,tanh,integrator,-9.619441829453388,-7.509672488358982,-0.7234009586954564,-0.1020357650766177,-0.6126177406212533,-0.13143761432026035
64,0.1,relu,go,-9.29896925045624,-7.270439676921372,-9.29896925045624,-7.270439676921372,-9.29896925045624,-7.270439676921372
64,0.1,relu,discrimination,-9.182916352773654,-7.042089829767513,-9.182916352773654,-7.042089829767513,-9.182916352773654,-7.042089829767513
64,0.1,relu,flop,-8.987198170149295,-6.766038335732815,-8.987198170149295,-6.766038335732815,-8.987198170149295,-6.766038335732815
64,0.1,relu,integrator,-8.724751245153202,-7.423538641449564,-8.724751245153202,-7.423538641449564,-8.724751245153202,-7.423538641449564
64,0.5,tanh,go,-9.291208193209894,-7.826504035445796,-0.36945548051867094,-0.3767882635764402,-0.42543177726461756,-0.4300565901412643
64,0.5,tanh,discrimination,-8.960316626705545,-6.1105527388029826,-2.3452530330599535,-0.9060422398967518,-1.7413518538656292,-0.48898733040257564
64,0.5,tanh,flop,-9.331069009123183,-6.821457939008434,-3.194888967280882,-3.206253995762997,-2.981214232185163,-3.070139955260229
64,0.5,tanh,integrator,-8.991816543090687,-6.97162498404119,-0.8796511556044512,-0.37647676231506016,-0.9017002158052622,-0.3939141492967775
64,0.5,relu,go,-9.322964828700528,-7.699966677764069,-9.322964828700528,-7.699966677764069,-9.322964828700528,-7.699966677764069
64,0.5,relu,discrimination,-9.146721638958086,-6.723652458442368,-9.146721638958086,-6.723652458442368,-9.146721638958086,-6.723652458442368
64,0.5,relu,flop,-9.364977120006841,-7.496987375266711,-1.8745975745184857,-0.7263417710260096,-1.8745975745184857,-0.7263417710260096
64,0.5,relu,integrator,-9.571086877274615,-8.982411000909035,-3.683766014167755,-2.4144119278415195,-3.683766014167755,-2.4144119278415195
64,0.9,tanh,go,-9.3505273276536,-7.052719941191904,-3.2074927840696876,-2.2063698795346824,-0.5163581642902563,-0.5063854726683524
64,0.9,tanh,discrimination,-9.16991503561839,-7.542895044260516,-1.449613622093484,-0.7409728733674068,-1.9082182962766285,-1.1292547830984685
64,0.9,tanh,flop,-9.258346862299518,-6.6754935174869665,-3.4813104942127624,-3.5667151151644263,-3.5203773743676714,-3.6925277062775503
64,0.9,tanh,integrator,-8.303702155297087,-7.078209374135625,-0.7610963192915423,-0.2645824957916528,-0.6609506499064602,-0.1939268097615001
64,0.9,relu,go,-9.331011379399232,-7.882881332742645,-1.7929924060014428,-1.577047128099356,-1.7929740551298228,-1.5770224595434037
64,0.9,relu,discrimination,-9.133563670403241,-7.245053449841158,-9.14465838577134,-7.245975970648408,-9.14465838577134,-7.245975970648408
64,0.9,relu,flop,-8.95697903437627,-5.877751052559662,-0.31251168576823213,-0.07586139905787574,-0.31247282493169354,-0.07722605227310558
64,0.9,relu,integrator,-8.278679724334822,-7.232428207126308,-1.7539454196398634,-0.6915654519964309,-1.7539454196398634,-0.6915654519964309
128,0.1,tanh,go,-9.254185357093617,-7.23090870327914,-2.1568179560893213,-1.1678885203330178,-0.6895538812828393,-0.5972101347397301
128,0.1,tanh,discrimination,-9.064302792146204,-6.698977369342742,-3.4352554750945354,-1.2161529416112549,-3.045343869966504,-1.066521701613682
128,0.1,tanh,flop,-9.069086431222956,-6.428352880542192,-4.843143595195812,-4.616412483603072,-4.9831457186094426,-4.555636672751568
128,0.1,tanh,integrator,-8.857440073724103,-7.358002903369183,-0.7365069782748302,-0.20054701022809954,-0.753753433138634,-0.21169313000289786
128,0.1,relu,go,-9.468719313468426,-6.719969736390074,-9.468719313468426,-6.719969736390074,-9.468719313468426,-6.719969736390074
128,0.1,relu,discrimination,-9.029608869889627,-7.041360484039598,-9.029608869889627,-7.041360484039598,-9.029608869889627,-7.041360484039598
128,0.1,relu,flop,-8.942766901974302,-5.4951785930879975,-8.942766901974302,-5.4951785930879975,-8.942766901974302,-5.4951785930879975
128,0.1,relu,integrator,-8.504420268013844,-7.152349209872647,-8.504420268013844,-7.152349209872647,-8.504420268013844,-7.152349209872647
128,0.5,tanh,go,-9.11401986596508,-6.650640590611471,-2.728371124494093,-1.489872261144787,-0.6287478683087739,-0.6283284674424019
128,0.5,tanh,discrimination,-9.462336191188236,-8.153220059165227,-3.4906393517925203,-1.980463070962043,-2.9342335005462954,-1.4849239371088092
128,0.5,tanh,flop,-9.163515684457698,-6.855171561151205,-4.0838633545286775,-3.853028309966404,-4.087202431116282,-3.777800657946314
128,0.5,tanh,integrator,-8.589472784492706,-7.19042327587849,-1.0941538311697745,-0.25398347266759147,-1.0966369760022399,-0.2550228038590637
128,0.5,relu,go,-9.227905717242937,-6.540264276469553,-9.227165798107299,-6.540263067259288,-9.227165798107299,-6.540263067259288
128,0.5,relu,discrimination,-9.222432439639755,-7.750727889975816,-9.222429051987879,-7.750726740507045,-9.222429051987879,-7.750726740507045
128,0.5,relu,flop,-9.417861624231127,-7.174162426190314,-3.994257597640909,-3.5812973798353256,-3.994257597640909,-3.5812973798353256
128,0.5,relu,integrator,-9.605620350717858,-8.973147279251494,-2.8461365676329016,-2.0213223851311346,-2.8461365676329016,-2.0213223851311346
128,0.9,tanh,go,-8.607193475224687,-6.11166362475342,-2.771197445221982,-1.9833261348023299,-2.7071906469639804,-2.100395591066625
128,0.9,tanh,discrimination,-9.170929673709574,-7.391231641982435,-4.1668451542801925,-2.6063736634922097,-2.4450449130732497,-1.3558634245178167
128,0.9,tanh,flop,-9.352719138970254,-7.271206836633362,-0.4989232191323927,-0.002849581946467818,-0.8170940399551783,-0.3326928949905726
128,0.9,tanh,integrator,-8.811419332638772,-7.648944401725253,-1.742664277982253,-1.0617754850726768,-1.818515736913013,-1.1285232542378691
128,0.9,relu,go,-9.375175397540499,-6.9308018354537255,-0.49359516367490064,-0.5175445883019915,-0.49359516367490064,-0.5175445883019915
128,0.9,relu,discrimination,-9.516398534255968,-8.037398580328956,-9.041698314634194,-6.9954667529830825,-9.041698314634194,-6.9954667529830825
128,0.9,relu,flop,-9.14252125877465,-6.776429122983421,-2.0229625402699907,-1.0586093207122242,-2.022352880952443,-1.0586611203657794
128,0.9,relu,integrator,-9.317173721098465,-8.162812611149892,-1.4205432708845214,-0.611815496140822,-1.4206186483951153,-0.6118256067708968
256,0.1,tanh,go,-9.163562621027237,-7.1003892516943985,0.1779042899575249,-0.011340484840058387,-1.5089758827807884,-1.5813334633249971
256,0.1,tanh,discrimination,-9.596021774319224,-7.8853925479291505,-2.7011889576988133,-1.4546517467767375,-2.745627799580803,-1.454972629179921
256,0.1,tanh,flop,-9.495746837254245,-7.764081942692905,-5.353796865932871,-4.953923066842615,-4.589457624985568,-4.434881625709085
256,0.1,tanh,integrator,-9.29682363288145,-8.662746376059237,0.2884813492546199,0.5241355147591855,-0.6116703319514626,-0.13097737921573085
256,0.1,relu,go,-9.066516875625467,-6.501948037280045,-9.066516875625467,-6.501948037280045,-9.066516875625467,-6.501948037280045
256,0.1,relu,discrimination,-9.110903848870661,-7.484464165688487,-9.110903848870661,-7.484464165688487,-9.110903848870661,-7.484464165688487
256,0.1,relu,flop,-9.387858093025661,-6.846393486253174,-9.387858093025661,-6.846393486253174,-9.387858093025661,-6.846393486253174
